ag_update_date,ag_id,ag_name,ag_gender,ag_date_of_birth,ag_gov_id,ag_license_number,ag_license_issue_date,ag_license_expiry_date,ag_ctgry,ag_expertise_cd,ag_experience,ag_lang,ag_contact_number,ag_email,ag_address_line_1,ag_address_line_2,ag_address_line_3,ag_city,ag_district,ag_state,ag_country,ag_pin_code,ag_since,ag_service_area_type,ag_product,ag_sales_manager_id,ag_account_no,FRAUD_CLAIM_CNT_YR_1,FRAUD_CLAIM_CNT_YR_2,FRAUD_CLAIM_CNT_YR_3,TOTAL_FRAUD_CNT,FRAUD_RATIO,FRAUD_FLG,CLAIM_CNT_LAST_1_WK,CLAIM_CNT_LAST_2_WK,CLAIM_CNT_LAST_4_WK,CLAIM_CNT_YR_1,CLAIM_CNT_YR_2,CLAIM_CNT_YR_3,CLAIM_CASHLESS_CNT_YR_1,CLAIM_CASHLESS_CNT_YR_2,CLAIM_CASHLESS_CNT_YR_3,CLAIM_REIM_CNT_YR_1,CLAIM_REIM_CNT_YR_2,CLAIM_REIM_CNT_YR_3,CLAIM_APPR_CNT_YR_1,CLAIM_APPR_CNT_YR_2,CLAIM_APPR_CNT_YR_3,CLAIM_CASHLESS_APPR_CNT_YR_1,CLAIM_CASHLESS_APPR_CNT_YR_2,CLAIM_CASHLESS_APPR_CNT_YR_3,CLAIM_REJECTED_CNT_LAST_1_WK,CLAIM_REJECTED_CNT_LAST_2_WK,CLAIM_REJECTED_CNT_LAST_4_WK,CLAIM_REJECTED_RATIO_LAST_1_WK,CLAIM_REJECTED_RATIO_LAST_2_WK,CLAIM_REJECTED_RATIO_LAST_4_WK,CLAIM_REJECTED_CNT_YR_1,CLAIM_REJECTED_CNT_YR_2,CLAIM_REJECTED_CNT_YR_3,CLAIM_AMT_YR_1,CLAIM_AMT_YR_2,CLAIM_AMT_YR_3,APPROVED_AMT_YR_1,APPROVED_AMT_YR_2,APPROVED_AMT_YR_3,APPROVED_CASHLESS_AMT_YR_1,APPROVED_CASHLESS_AMT_YR_2,APPROVED_CASHLESS_AMT_YR_3,APPROVED_REIM_AMT_YR_1,APPROVED_REIM_AMT_YR_2,APPROVED_REIM_AMT_YR_3,AVG_ICR,CLAIM_DIST_HOSP_CNT_YR_1,CLAIM_DIST_HOSP_CNT_YR_2,CLAIM_DIST_HOSP_CNT_YR_3,CLAIM_REIM_APPR_CNT_YR_1,CLAIM_REIM_APPR_CNT_YR_2,CLAIM_REIM_APPR_CNT_YR_3,CLAIMED_BY_TOT_POL_CNT_YR_1,CLAIMED_BY_TOT_POL_CNT_YR_2,CLAIMED_BY_TOT_POL_CNT_YR_3,CLAIMED_POLICY_CNT_YR_1,CLAIMED_POLICY_CNT_YR_2,CLAIMED_POLICY_CNT_YR_3,CUST_CNT_YR_1,CUST_CNT_YR_2,CUST_CNT_YR_3,ICR_YR_1,ICR_YR_2,ICR_YR_3,POL_LAPSE_YR_1,POL_LAPSE_YR_2,POL_SALES_GROWTH_YR_1,POL_SALES_GROWTH_YR_2,POLICY_ACTIVE_CNT_YR_1,POLICY_ACTIVE_CNT_YR_2,POLICY_ACTIVE_CNT_YR_3,POLICY_EXP_CNT_YR_1,POLICY_EXP_CNT_YR_2,POLICY_EXP_CNT_YR_3,POLICY_REN_CNT_YR_1,POLICY_REN_CNT_YR_2,POLICY_REN_CNT_YR_3,POLICY_SOLD_CNT_YR_1,POLICY_SOLD_CNT_YR_2,POLICY_SOLD_CNT_YR_3,POLICY_SOLD_PREM_YR_1,POLICY_SOLD_PREM_YR_2,POLICY_SOLD_PREM_YR_3,POLICY_SUM_INSURED_YR_1,POLICY_SUM_INSURED_YR_2,POLICY_SUM_INSURED_YR_3,AGENT_VINTAGE,HIGH_CLAIM_RATIO_30D,MEMBER_BANKMATCH_FLG,AGENT_SHARED_BANK_MEMBER_ID,MEMBER_MOBMATCH_FLG,AGENT_SHARED_MOB_MEMBER_ID,HIGH_HOSP_OVERLAP_30D_FLG,AGENT_POL_SOLD_LAST_30D_CNT,AGT_SOLD_POL_CLAIMED_LAST30D_CNT,AGENT_TOTAL_CLAIMS_LAST_30D_CNT,AGT_TOP_HOSP_CLAIM_CNT_LAST30D,AGT_RECENT_SALE_CLAIM_RATIO_30D,AGT_HOSP_CONCENTRATION_RATIO30D,AGT_TOP_HOSP_CLAIM_CNT_LAST01Y
2025-08-13,AG1000,Abram Sengupta,F,1988-02-22,ADHAR-1993-5551-6173,LIC/Ta/63667,2025-05-16,2027-03-20,IM,HLT,3,Hindi/English/Tamil,99709027690,abram29@example.com,098- Sethi Nagar,Sundaram Marg,Street,Chennai,Chennai,Tamil Nadu,India,608185,2022-06-21,Rural,Life,SM1044,355502422496,1,0,0.0,1.0,0.0125,1,1.0,1.0,6.0,45,35,0.0,30,22,0,15,13,0,41,27,0,27,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,21063613.98,22186864.75,0.0,15726030.4,15159211.09,0.0,10593463.93,8611345.68,0.0,5132566.470000001,6547865.41,0.0,1.407090808958482,30,29,0.0,14,9,0,0.38961038961038963,0.35064935064935066,0.0,30,27,0.0,232,232,0.0,2.149371522097982,2.0719009047774644,0.0,1.0,-inf,-100.0,0.0,77,77,0.0,77,0.0,0.0,0.0,19,0.0,0.0,77,0.0,0.0,7316571.49,0.0,0.0,109004923.03,0.0,3.1101984941820673,0,0,0,0,0,0,0.0,0.0,6.0,1.0,0.0,0.16666666666666666,4
2025-08-13,AG1001,Zaina Tak,M,1986-10-16,VOTER-C651462,LIC/We/74967,2025-04-26,2028-12-14,IM,HLT,14,Hindi/English/Bengali,99873261750,zaina42@example.com,11/87 Kalla,Sampath Marg,Street,Howrah,Howrah,West Bengal,India,717939,2011-03-05,Urban,Health,SM1031,426619045096,1,0,0.0,1.0,0.014492753623188406,1,0.0,2.0,4.0,34,35,0.0,24,26,0,10,9,0,24,30,0,17,24,0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,0,25406510.52,23113144.19,0.0,19252090.7,16022253.66,0.0,10054707.36,13011525.65,0.0,9197383.34,3010728.01,0.0,1.926593301875388,24,28,0.0,7,6,0,0.4482758620689655,0.4827586206896552,0.0,26,28,0.0,174,174,0.0,3.1544979499415517,2.6252819556846116,0.0,1.0,-inf,-100.0,0.0,58,58,0.0,58,0.0,0.0,0.0,12,0.0,0.0,58,0.0,0.0,6103060.14,0.0,0.0,93588449.97,0.0,14.406570841889117,0,0,0,0,0,0,0.0,0.0,4.0,1.0,0.0,0.25,3
2025-08-13,AG1002,Kashvi Ramaswamy,F,1992-08-14,ADHAR-2242-8834-3810,LIC/Ma/69416,2024-08-26,2029-11-20,MI,HLT,5,Hindi/English/Marathi,99195859942,kashvi28@example.com,07/669- Babu Street,Krishnan Chowk,Street,Mumbai,Mumbai,Maharashtra,India,426121,2020-08-14,Rural,Life,SM1006,969850810131,0,0,0.0,0.0,0.0,0,2.0,6.0,8.0,57,37,0.0,43,29,0,14,8,0,50,31,0,37,24,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,37397402.11,25103028.79,0.0,23599569.71,13988445.66,0.0,16972484.400000002,11196785.129999999,0.0,6627085.3100000005,2791660.53,0.0,1.6485121411681014,35,29,0.0,13,7,0,0.5675675675675675,0.40540540540540543,0.0,42,30,0.0,213,213,0.0,3.105046393936119,1.8404900295681854,0.0,1.0,-inf,-100.0,0.0,74,74,0.0,74,0.0,0.0,0.0,18,0.0,0.0,74,0.0,0.0,7600391.98,0.0,0.0,126286336.39,0.0,4.960985626283367,0,0,0,0,0,0,0.0,0.0,8.0,1.0,0.0,0.125,3
2025-08-13,AG1003,Kismat Kara,F,1978-01-21,UID-514468195229,LIC/Ma/79554,2016-06-13,2029-11-10,MI,GEN,12,Hindi/English/Marathi,97872811898,kismat39@example.com,H.No. 775 Bains Road,Goswami Circle,Street,Mumbai,Mumbai,Maharashtra,India,472459,2013-02-18,Rural,Motor,SM1002,282061555915,2,0,0.0,2.0,0.02247191011235955,1,0.0,1.0,6.0,56,33,0.0,40,22,0,16,11,0,44,30,0,32,21,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,37381850.6,11810551.47,0.0,27702280.56,7350820.25,0.0,22529670.09,6072630.66,0.0,5172610.470000001,1278189.59,0.0,1.8914749645737439,35,24,0.0,12,9,0,0.4931506849315068,0.3972602739726027,0.0,36,29,0.0,220,220,0.0,4.484468043913224,1.1899568498080078,0.0,1.0,-inf,-100.0,0.0,73,73,0.0,73,0.0,0.0,0.0,17,0.0,0.0,73,0.0,0.0,6177383.87,0.0,0.0,103070484.09,0.0,12.446269678302533,0,0,0,0,0,0,0.0,0.0,6.0,1.0,0.0,0.16666666666666666,6
2025-08-13,AG1004,Hansh Agate,F,1983-02-09,VOTER-E231102,LIC/Ta/27947,2019-01-02,2026-09-26,CO,HLT,6,Hindi/English/Tamil,98299995763,hansh66@example.com,662- Hans Path,Gade Circle,Street,Madurai,Madurai,Tamil Nadu,India,671964,2018-09-17,Urban,Health,SM1024,929970498296,25,0,0.0,25.0,0.28735632183908044,1,3.0,10.0,16.0,59,28,0.0,43,21,0,16,7,0,58,20,0,42,16,0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,28539146.56,17862919.92,0.0,25426114.95,11784023.57,0.0,19369853.150000002,9538403.03,0.0,6056261.799999999,2245620.54,0.0,1.9521766341394278,26,24,0.0,16,4,0,0.7333333333333333,0.35,0.0,44,21,0.0,173,173,0.0,4.001834135257596,1.8546957671606876,0.0,1.0,-inf,-100.0,0.0,60,60,0.0,60,0.0,0.0,0.0,8,0.0,0.0,60,0.0,0.0,6353615.39,0.0,0.0,102157932.8,0.0,6.869267624914442,0,0,0,0,0,1,0.0,0.0,17.0,10.0,0.0,0.5882352941176471,24
2025-08-13,AG1005,Nitya Vohra,F,1970-09-04,UID-678136430336,LIC/Ta/22048,2014-07-22,2030-01-30,PO,HLT,19,Hindi/English/Tamil,97823753469,nitya93@example.com,H.No. 692 Kota Chowk,Bumb Ganj,Street,Chennai,Chennai,Tamil Nadu,India,668359,2006-05-14,Rural,Motor,SM1009,966727224094,0,0,0.0,0.0,0.0,0,2.0,2.0,5.0,39,19,0.0,27,15,0,12,4,0,35,16,0,24,13,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,26079086.41,8820426.57,0.0,18698179.24,6849495.3,0.0,13473582.669999998,5602704.380000001,0.0,5224596.569999999,1246790.92,0.0,1.3243320044118565,24,17,0.0,11,3,0,0.453125,0.265625,0.0,29,17,0.0,184,184,0.0,2.9078103159241238,1.065185697311446,0.0,1.0,-inf,-100.0,0.0,64,64,0.0,64,0.0,0.0,0.0,8,0.0,0.0,64,0.0,0.0,6430329.7700000005,0.0,0.0,102175622.12,0.0,19.21423682409309,0,0,0,0,0,0,0.0,0.0,6.0,1.0,0.0,0.16666666666666666,4
2025-08-13,AG1006,Miraya Chauhan,M,1986-04-21,ADHAR-8181-4789-6390,LIC/Ta/44624,2023-11-22,2026-09-11,IM,LFE,3,Hindi/English/Tamil,99375634773,miraya39@example.com,17/72- Arya,Bir Marg,Street,Chennai,Chennai,Tamil Nadu,India,670386,2022-04-13,Urban,Combo,SM1010,945157571205,0,0,0.0,0.0,0.0,0,0.0,3.0,5.0,52,31,0.0,45,24,0,7,7,0,47,23,0,40,16,0,0.0,0.0,1.0,0.0,0.0,0.2,2,5,0,28815865.63,21317483.46,0.0,23242504.16,11763929.36,0.0,19172265.18,8103239.790000001,0.0,4070238.98,3660689.5700000008,0.0,1.498719157920866,34,22,0.0,7,7,0,0.47560975609756095,0.32926829268292684,0.0,39,27,0.0,241,241,0.0,2.985221523016272,1.510935950746326,0.0,1.0,-inf,-100.0,0.0,82,82,0.0,82,0.0,0.0,0.0,19,0.0,0.0,82,0.0,0.0,7785855.75,0.0,0.0,131919771.81,0.0,3.299110198494182,0,0,0,0,0,0,0.0,0.0,7.0,1.0,0.0,0.14285714285714285,4
2025-08-13,AG1007,Mehul Sodhi,M,1995-04-03,VOTER-C925399,LIC/Ta/81865,2024-06-07,2028-06-02,MI,HLT,4,Hindi/English/Tamil,97827888748,mehul91@example.com,H.No. 96- Sundaram Road,Chaudry Nagar,Street,Chennai,Chennai,Tamil Nadu,India,632629,2021-06-15,Urban,Life,SM1044,860450246450,0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,41,30,0.0,34,25,0,7,5,0,34,25,0,27,20,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,27565975.75,19971515.48,0.0,19621186.330000002,14197697.97,0.0,10244492.010000002,12004741.169999998,0.0,9376694.320000002,2192956.8,0.0,1.442876345210274,29,24,0.0,7,5,0,0.4264705882352941,0.35294117647058826,0.0,29,24,0.0,200,200,0.0,2.5114026857935277,1.817226349837294,0.0,1.0,-inf,-100.0,0.0,68,68,0.0,68,0.0,0.0,0.0,9,0.0,0.0,68,0.0,0.0,7812839.59,0.0,0.0,125077046.71,0.0,4.125941136208077,0,0,0,0,0,0,0.0,0.0,2.0,1.0,0.0,0.5,4
2025-08-13,AG1008,Prisha Sharaf,M,1995-07-22,VOTER-E784925,LIC/We/92455,2024-11-25,2029-09-18,MI,GEN,11,Hindi/English/Bengali,97535097382,prisha80@example.com,H.No. 045- Jaggi Street,D’Alia Marg,Street,Howrah,Howrah,West Bengal,India,799711,2013-12-25,Urban,Life,SM1042,98868593246,0,0,0.0,0.0,0.0,0,2.0,5.0,7.0,43,30,0.0,34,24,0,9,6,0,37,26,0,29,21,0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,24594010.39,22659680.1,0.0,17760164.68,17445088.83,0.0,13778423.240000002,14402072.879999997,0.0,3981741.44,3043015.95,0.0,1.4300789209885139,29,22,0.0,8,5,0,0.44155844155844154,0.3246753246753247,0.0,34,25,0.0,243,243,0.0,2.1643165104553215,2.1259202525102205,0.0,1.0,-inf,-100.0,0.0,77,77,0.0,77,0.0,0.0,0.0,14,0.0,0.0,77,0.0,0.0,8205899.92,0.0,0.0,127390292.0,0.0,11.597535934291582,0,0,0,0,0,0,0.0,0.0,7.0,2.0,0.0,0.2857142857142857,3
2025-08-13,AG1009,Saira Mani,M,1987-11-19,UID-971622418350,LIC/We/90842,2023-02-18,2027-09-11,CO,GEN,19,Hindi/English/Bengali,98014182208,saira40@example.com,H.No. 48 Chhabra Marg,Bedi Road,Street,Howrah,Howrah,West Bengal,India,754288,2005-11-09,Urban,Life,SM1027,82949501183,1,0,0.0,1.0,0.014705882352941176,1,0.0,1.0,4.0,34,34,0.0,21,26,0,13,8,0,29,26,0,18,21,0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0,23057684.82,13759703.95,0.0,15783148.639999999,8893089.540000001,0.0,7100613.509999999,6767215.100000001,0.0,8682535.129999999,2125874.44,0.0,1.1984094468603386,25,25,0.0,11,5,0,0.47619047619047616,0.42857142857142855,0.0,30,27,0.0,167,167,0.0,2.2995410759214314,1.295687264659584,0.0,1.0,-inf,-100.0,0.0,63,63,0.0,63,0.0,0.0,0.0,14,0.0,0.0,63,0.0,0.0,6863608.05,0.0,0.0,103379858.16,0.0,19.72347707049966,0,0,0,0,0,0,0.0,0.0,4.0,1.0,0.0,0.25,3
